ds,yhat
2011-01-17,26.891529937308366
2011-01-24,27.187430016980915
2011-01-31,29.116248626664806
2011-02-07,29.73796990577803
2011-02-14,27.567043459289966
2011-02-21,23.736437045398024
2011-02-28,20.522620342230503
2011-03-07,19.223936212618113
2011-03-14,19.489258759232833
2011-03-21,20.2085366656251
2011-03-28,20.61277205446179
2011-04-04,20.6244851769868
2011-04-11,20.64267827327003
2011-04-18,21.266438876508772
2011-04-25,22.985262057030422
2011-05-02,25.718771275820735
2011-05-09,28.570604901903145
2011-05-16,30.31564360641371
2011-05-23,30.372255870253678
2011-05-30,29.233694272524847
2011-06-06,27.793279672278327
2011-06-13,26.35197258996314
2011-06-20,24.583079845720786
2011-06-27,22.50777252742103
2011-07-04,21.07036926858924
2011-07-11,21.243548847467125
2011-07-18,22.566501545861026
2011-07-25,23.12285294418016
2011-08-01,21.482944469102208
2011-08-08,18.60384896160793
2011-08-15,17.29388011846728
2011-08-22,19.449858484897597
2011-08-29,23.973435252675223
2011-09-05,27.744074953545436
2011-09-12,28.662279913805893
2011-09-19,27.453705755382366
2011-09-26,26.4117513481771
2011-10-03,26.79370757058648
2011-10-10,27.946364370362886
2011-10-17,28.868915078154973
2011-10-24,29.850722464014996
2011-10-31,31.8976229903515
2011-11-07,34.74207486318378
2011-11-14,36.333272206402285
2011-11-21,34.992835111327565
2011-11-28,31.88595352512185
2011-12-05,30.571526926108632
2011-12-12,33.57289691192041
2011-12-19,39.529060442170746
2011-12-26,44.203343007702166
2012-01-02,44.48077305987933
2012-01-09,41.257710532314405
2012-01-16,38.202015917099516
2012-01-23,37.962021828215484
2012-01-30,39.79793572574702
2012-02-06,40.754712357413354
2012-02-13,38.98571608009673
2012-02-20,35.204305277468904
2012-02-27,31.65501454629655
2012-03-06,29.72301660698828
2012-03-13,29.776580349905927
2012-03-20,30.322626490998136
2012-03-27,30.568892176286514
2012-04-03,30.310967335880694
2012-04-10,30.04035416196619
2012-04-17,30.353455604384465
2012-04-24,31.75107741375099
2012-05-01,34.080954331523145
2012-05-08,36.5720953550641
2012-05-15,37.994662547598736
2012-05-22,37.730311887849
2012-05-29,36.15507756927238
2012-06-05,34.252010081484606
2012-06-12,32.35190201548408
2012-06-19,30.13661442078786
2012-06-26,27.53883400906302
2012-07-03,25.535454290760995
2012-07-10,25.12593694547898
2012-07-17,25.914334801069675
2012-07-24,25.99254576964646
2012-07-31,23.89052613494274
2012-08-07,20.47122671435914
2012-08-14,18.517814470208176
2012-08-21,20.009528475275673
2012-08-28,23.958085016482976
2012-09-04,27.266128840168708
2012-09-11,27.749933502610187
2012-09-18,26.03876897333734
2012-09-25,24.416679905721313
2012-10-02,24.209804575204753
2012-10-09,24.816311426906736
2012-10-16,25.21079949623095
2012-10-23,25.631308312282478
2012-10-30,27.091957017261947
2012-11-06,29.3959571762309
2012-11-13,30.531750024778407
2012-11-20,28.755845168253344
2012-11-27,25.116631407654893
2012-12-04,23.137516386345844
2012-12-11,25.443320736730378
2012-12-18,30.82066610187404
2012-12-25,35.07389217845704
2013-01-01,34.990740353817685
2013-01-08,31.30852221075
2013-01-15,27.657012332625015
2013-01-22,26.78120458587688
2013-01-29,28.061585183856042
2013-02-05,28.635549363846366
2013-02-12,26.508206964263216
2013-02-19,22.303705263597625
2013-02-26,18.251006753937382
2013-03-05,15.98131522085755
2013-03-12,15.458725329303931
2013-03-19,15.627915415770694
2013-03-26,15.587921685193571
2013-04-02,15.12130166756187
2013-04-09,14.550358687796368
2013-04-16,14.452768018516108
2013-04-23,15.376644656485748
2013-04-30,17.401617596637376
2013-05-07,19.793834328754414
2013-05-14,21.3202335961762
2013-05-21,21.190058626723257
2013-05-28,19.688151450991814
2013-06-04,17.716651171222022
2013-06-11,15.752349874583263
2013-06-18,13.540276806097824
2013-06-25,10.938874472736668
2013-07-02,8.718715801059474
2013-07-09,7.980792511955715
2013-07-10,8.015554890528922
2013-07-11,8.07881295506407
